name, start_freq, end_freq

SKCC, 1813.5, 1813.5
FISTS, 1818, 1818
QRP, 1836, 1836

SKCC, 3530, 3530
"SKCC", 3550, 3550
FISTS, 3558, 3558
QRP, 3560, 3560

QRP, 5262, 5262

SKCC, 7038, 7038
FISTS, 7028, 7028
QRP, 7030, 7030
skcc, 7055, 7055	# falls in all mode digi bands in RSGB
skcc, 7120, 7120	# falls in all modes 2.7kHz in RSGB

QRP, 10106, 10106
QRP, 10116, 10116
FISTS, 10118, 10118
SKCC, 10120, 10120

SKCC, 14050, 14050
QRS, 14055, 14055
FISTS, 14058, 14058
QRP, 14060, 14060
skcc, 14114, 14114	# falls in all modes 2.7kHz in RSGB

SKCC, 18080, 18080
FISTS, 18085, 18085
QRP, 18086, 18086
QRP, 18096, 18096

SKCC, 21050, 21050
QRS, 21055, 21055
FISTS, 21058, 21058
QRP, 21060, 21060
skcc, 21114, 21114	# falls in 2.7kHz all mode unattended in RSGB

QRP, 24906, 24906
FISTS, 24908, 24908
SKCC, 24910, 24910

SKCC, 28050, 28050
QRS, 28055, 28055
FISTS, 28058, 28058
SKCC, 28114, 28114	# Is in 500hZ narrow band in RSGB - is OK
