type, start_freq, end_freq

CW, 1810, 1838
Data, 1838, 1843
SSB, 1843, 2000

CW, 3500, 3560
CW, 3560, 3570
Data, 3570, 3600
SSB, 3600, 3650
SSB, 3650, 3700
SSB, 3700, 3800

CW, 5258.5, 5264.0
SSB, 5276.0, 5284.0
Beacons, 5288.5, 5292.0
All, 5298.0, 5307.0
All, 5313.0, 5323.0
SSB, 5333.0, 5338.0
All, 5354.0, 5358.0
All, 5362.0, 5374.5
SSB, 5378.0, 5382.0
SSB, 5395.0, 5401.5
SSB, 5403.5, 5406.5

CW, 7000, 7040 
Data, 7040, 7050 
Data/SSB, 7050, 7060 
SSB, 7060, 7100 
SSB, 7100, 7130 
SSB, 7130, 7200

CW, 10100, 10130
Data, 10130, 10150

CW, 14000, 14060
CW, 14060, 14070
Data, 14070, 14099
IBP, 14099, 14101
Data/SSB, 14101, 14125
SSB, 14125, 14300
SSB, 14300, 14350

CW, 18068, 18095
Data, 18095, 18109
IBP, 18109, 18111
SSB, 18111, 18168

CW, 21000, 21070
Data, 21070, 21149
IBP, 21149, 21151
SSB, 21151, 21450

CW, 24890, 24915
Data, 24915, 24929
IBP, 24929, 24931
SSB, 24931, 24990

CW, 28000, 28070
Data, 28070, 28190
Beacons, 28190, 28300
SSB, 28300, 29000
All, 29000, 29300
Sat, 29300, 29520
FM, 29520, 29700
