type, start_freq, end_freq

CW, 50000, 50100
Narrow, 50100, 50500
All, 50500, 52000

Beacons, 70000, 70100
Narrow, 70100, 70250
All, 70250, 70294
All, 70294, 70500


All, 144000, 144025
CW, 144025, 144150
Narrow, 144150, 144400
Beacons, 144400, 144500
All, 144500, 144794
MGM, 144794, 144990
RepIn, 144990, 145193.5
Simplex, 145200, 145593.5
RepOut, 145593.5, 145793.5
Sat, 145806, 146000

All, 430000, 432000
CW, 432000, 432100
Narrow, 432100, 432400
Beacons, 432400, 432500
All, 432500, 432994
RepOut, 432994, 433381
Simplex, 433394, 433600
All, 433600, 434600
RepIn, 434594, 434981
Sat, 435000, 438000
All, 438000, 438425
RepIn, 438425, 438575
All, 438575, 440000
